ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,total,Drinking water,2010,86.94367,1070259831.11363,At least basic
IND,India,urban,Drinking water,2010,94.02828,358005458.39106,At least basic
IND,India,rural,Drinking water,2010,43.75387,372012185.44482,Basic service
IND,India,total,Drinking water,2010,2.9434,36232722.64694,Limited service
IND,India,rural,Drinking water,2010,3.53961,30095124.18077,Limited service
IND,India,urban,Drinking water,2010,1.61201,6137599.63821,Limited service
IND,India,rural,Drinking water,2010,40.01727,340242213.10547,Safely managed service
IND,India,total,Drinking water,2010,0.98979,12184108.80286,Surface water
IND,India,rural,Drinking water,2010,1.2976,11032703.64814,Surface water
IND,India,urban,Drinking water,2010,0.30241,1151405.59425,Surface water
IND,India,total,Drinking water,2010,9.12314,112304073.43657,Unimproved
IND,India,rural,Drinking water,2010,11.39165,96856173.6208,Unimproved
IND,India,urban,Drinking water,2010,4.0573,15447872.37648,Unimproved
IND,India,total,Drinking water,2011,87.76416,1094626177.5097,At least basic
IND,India,urban,Drinking water,2011,94.30785,367881248.52533,At least basic
IND,India,rural,Drinking water,2011,42.57237,364909265.68636,Basic service
IND,India,total,Drinking water,2011,2.64074,32936264.47137,Limited service
IND,India,rural,Drinking water,2011,3.1931,27369669.15206,Limited service
IND,India,urban,Drinking water,2011,1.42702,5566594.62597,Limited service
IND,India,rural,Drinking water,2011,42.21378,361835635.16064,Safely managed service
IND,India,total,Drinking water,2011,0.95513,11912747.47364,Surface water
IND,India,rural,Drinking water,2011,1.24937,10708979.83163,Surface water
IND,India,urban,Drinking water,2011,0.30859,1203767.41379,Surface water
IND,India,total,Drinking water,2011,8.63997,107760778.54529,Unimproved
IND,India,rural,Drinking water,2011,10.77138,92326914.16932,Unimproved
IND,India,urban,Drinking water,2011,3.95654,15433893.43491,Unimproved
IND,India,total,Drinking water,2012,88.58461,1118881964.77465,At least basic
IND,India,urban,Drinking water,2012,94.58779,377933338.81415,At least basic
IND,India,rural,Drinking water,2012,41.36783,357214313.75746,Basic service
IND,India,total,Drinking water,2012,2.335,29492646.91489,Limited service
IND,India,rural,Drinking water,2012,2.84091,24531487.65128,Limited service
IND,India,urban,Drinking water,2012,1.24166,4961158.42763,Limited service
IND,India,rural,Drinking water,2012,44.43902,383734285.10394,Safely managed service
IND,India,total,Drinking water,2012,0.92074,11629615.13987,Surface water
IND,India,rural,Drinking water,2012,1.20114,10371922.81146,Surface water
IND,India,urban,Drinking water,2012,0.31477,1257691.98177,Surface water
IND,India,total,Drinking water,2012,8.15964,103061629.17058,Unimproved
IND,India,rural,Drinking water,2012,10.15111,87655574.67585,Unimproved
IND,India,urban,Drinking water,2012,3.85578,15406082.77645,Unimproved
IND,India,total,Drinking water,2013,89.40462,1143093724.59238,At least basic
IND,India,urban,Drinking water,2013,94.8681,388179649.5819,At least basic
IND,India,rural,Drinking water,2013,40.14024,348972788.2113,Basic service
IND,India,total,Drinking water,2013,2.02633,25907856.25773,Limited service
IND,India,rural,Drinking water,2013,2.48305,21587203.6148,Limited service
IND,India,urban,Drinking water,2013,1.05593,4320651.78102,Limited service
IND,India,rural,Drinking water,2013,46.69298,405941259.39167,Safely managed service
IND,India,total,Drinking water,2013,0.88666,11336451.80019,Surface water
IND,India,rural,Drinking water,2013,1.15291,10023191.47617,Surface water
IND,India,urban,Drinking water,2013,0.32095,1313259.91583,Surface water
IND,India,total,Drinking water,2013,7.6824,98224271.3497,Unimproved
IND,India,rural,Drinking water,2013,9.53084,82859557.30607,Unimproved
IND,India,urban,Drinking water,2013,3.75502,15364710.72125,Unimproved
IND,India,total,Drinking water,2014,90.22395,1167370911.22624,At least basic
IND,India,urban,Drinking water,2014,95.14878,398676574.62075,At least basic
IND,India,rural,Drinking water,2014,38.8896,340227947.74798,Basic service
IND,India,total,Drinking water,2014,1.71481,22187241.67128,Limited service
IND,India,rural,Drinking water,2014,2.1195,18542591.14333,Limited service
IND,India,urban,Drinking water,2014,0.86984,3644651.1913,Limited service
IND,India,rural,Drinking water,2014,48.97566,428466417.06122,Safely managed service
IND,India,total,Drinking water,2014,0.85288,11035010.12934,Surface water
IND,India,rural,Drinking water,2014,1.10468,9664322.69641,Surface water
IND,India,urban,Drinking water,2014,0.32713,1370687.77717,Surface water
